"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","상담실적(내부상담전문가)","상담실적(내부상담전문가실시여부)","상담실적(외부상담전문가)","상담실적(외부상담전문가실시여부)"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005494","예봉초등학교","02","공립","N","","456","Y","0","N"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090005495","주원초등학교","02","공립","N","","538","Y","30","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090005496","하늘초등학교","02","공립","N","","0","N","20","Y"
"경기도교육청","경기도화성오산교육지원청","","S090005588","동화초등학교","02","공립","N","","400","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005589","반석초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 효행구","S090005591","상봉초등학교","02","공립","N","","0","N","190","Y"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005593","솔빛초등학교","02","공립","N","","503","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005594","오산고현초등학교","02","공립","N","","474","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 병점구","S090005595","율목초등학교","02","공립","N","","0","N","1","Y"
"경기도교육청","경기도화성오산교육지원청","","S090005597","반송초등학교","02","공립","N","","706","Y","0","N"
"경기도교육청","경기도부천교육지원청","경기도 부천시 오정구","S090005603","성곡초등학교","02","공립","N","","399","Y","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090005607","모당초등학교","02","공립","N","","540","Y","10","Y"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005610","청덕초등학교","02","공립","N","","801","Y","0","N"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090005612","시흥능곡초등학교","02","공립","N","","151","Y","4","Y"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005617","장기초등학교","02","공립","N","","340","Y","0","N"
"경기도교육청","경기도성남교육지원청","경기도 성남시 중원구","S090005621","도촌초등학교","02","공립","N","","448","Y","6","Y"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090005627","군포대야초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090005628","모락초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005644","능동초등학교","02","공립","N","","590","Y","4","Y"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 만세구","S090005645","도이초등학교","02","공립","N","","466","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 효행구","S090005646","수영초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005647","예당초등학교","02","공립","N","","414","Y","0","N"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090005648","중동초등학교","02","공립","N","","254","Y","4","Y"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005649","푸른초등학교","02","공립","N","","524","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005650","한마음초등학교","02","공립","N","","328","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 만세구","S090005651","한울초등학교","02","공립","N","","280","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 만세구","S090005652","행정초등학교","02","공립","N","","765","Y","0","N"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005678","가운초등학교","02","공립","N","","497","Y","0","N"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090005680","송현초등학교","02","공립","N","","512","Y","0","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005682","신곡초등학교","02","공립","N","","0","N","6","Y"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090005686","하남풍산초등학교","02","공립","N","","239","Y","29","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090005687","아람초등학교","02","공립","N","","517","Y","119","Y"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090005688","안산대월초등학교","02","공립","N","","256","Y","0","N"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090005690","신길초등학교","02","공립","N","","612","Y","0","N"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005692","성남송현초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도수원교육지원청","경기도 수원시 팔달구","S090005693","매여울초등학교","02","공립","N","","593","Y","8","Y"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005695","보평초등학교","02","공립","N","","617","Y","0","N"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005696","운중초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005702","판교초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005703","산운초등학교","02","공립","N","","372","Y","0","N"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005705","구룡초등학교","02","공립","N","","844","Y","20","Y"
"경기도교육청","경기도구리남양주교육지원청","경기도 구리시","S090005706","건원초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005708","진접초등학교","02","공립","N","","581","Y","40","Y"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005710","차산초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090005739","충현초등학교","02","공립","N","","688","Y","6","Y"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090005740","구름산초등학교","02","공립","N","","250","Y","0","N"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005742","걸포초등학교","02","공립","N","","0","N","20","Y"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090005744","안현초등학교","02","공립","N","","406","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005747","문시초등학교","02","공립","N","","442","Y","0","N"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005748","공세초등학교","02","공립","N","","184","Y","0","N"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090005750","용인한빛초등학교","02","공립","N","","431","Y","0","N"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090005751","둔전제일초등학교","02","공립","N","","339","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005763","양산초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090005765","용이초등학교","02","공립","N","","556","Y","3","Y"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090005771","내동초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005773","석현초등학교","02","공립","N","","347","Y","0","N"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005774","흥덕초등학교","02","공립","N","","247","Y","0","N"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005780","남양주덕송초등학교","02","공립","N","","228","Y","0","N"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005784","별가람초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090005805","만송초등학교","02","공립","N","","460","Y","1","Y"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005807","숲속초등학교","02","공립","N","","331","Y","0","N"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090005809","승지초등학교","02","공립","N","","372","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005816","세미초등학교","02","공립","N","","751","Y","0","N"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005818","필봉초등학교","02","공립","N","","0","N","706","Y"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090005839","선행초등학교","02","공립","N","","254","Y","267","Y"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090005846","군포신기초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090005847","벌원초등학교","02","공립","N","","239","Y","35","Y"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090005848","빛가온초등학교","02","공립","N","","0","N","91","Y"
