"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"경기도교육청","경기도교육청","경기도 의정부시","S090000758","의정부여자고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","3","9","0","12","12","36","4","48","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","3","0","4","0","0","0","0","16","53","4","69","0","0","0","4"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000759","이매고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","5","7","0","12","7","39","6","46","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","1","0","1","0","1","2","7","0","9","0","0","0","0","15","57","7","72","0","0","0","7"
"경기도교육청","경기도교육청","경기도 이천시","S090000760","이천고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","6","0","12","12","26","8","38","0","2","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","11","0","19","0","0","0","0","28","47","9","75","0","0","0","9"
"경기도교육청","경기도교육청","경기도 이천시","S090000762","이천제일고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","17","2","1","19","30","25","2","55","1","5","0","6","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","11","17","0","28","0","0","0","0","61","52","3","113","0","0","0","3"
"경기도교육청","경기도교육청","경기도 이천시","S090000763","이천양정여자고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","7","0","12","10","15","1","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","7","18","0","25","0","0","0","0","24","42","2","66","0","0","0","2"
"경기도교육청","경기도교육청","경기도 이천시","S090000765","다산고등학교","04","사립","N","","1","0","0","1","0","1","0","1","1","0","0","1","5","4","0","9","14","16","3","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","0","16","0","0","0","0","28","30","3","58","0","0","0","3"
"경기도교육청","경기도교육청","경기도 여주시","S090000767","이포고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","2","0","6","4","4","2","8","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","2","0","4","0","0","0","0","12","10","2","22","0","0","0","2"
"경기도교육청","경기도교육청","경기도 구리시","S090000769","인창고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","7","5","0","12","5","28","3","33","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","2","7","0","9","0","0","0","0","15","45","4","60","0","0","0","4"
"경기도교육청","경기도교육청","경기도 포천시","S090000770","일동고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","8","1","0","9","6","13","2","19","0","2","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","4","0","5","0","0","0","0","16","23","2","39","0","0","0","2"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000771","일산고등학교","04","공립","N","","1","0","0","1","1","0","0","1","1","0","0","1","9","9","0","18","10","15","2","25","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","7","18","0","25","0","1","0","1","29","45","2","74","0","0","0","2"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000772","일산대진고등학교","04","사립","N","","1","0","0","1","0","0","0","0","0","0","0","0","5","6","0","11","17","34","7","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","10","12","0","22","0","0","0","0","33","53","7","86","0","0","0","7"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000773","일산동고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","7","0","12","6","40","6","46","0","3","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","2","13","0","15","0","0","0","0","15","66","7","81","0","0","0","7"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000775","일산국제컨벤션고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","12","1","17","7","22","6","29","1","1","0","2","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","6","20","0","26","0","0","0","0","21","59","7","80","0","0","0","7"
"경기도교육청","경기도교육청","경기도 안성시","S090000777","일죽고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","4","2","0","6","2","6","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","8","10","0","18","0","0","0","0"
"경기도교육청","경기도교육청","경기도 시흥시","S090000778","장곡고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","5","7","0","12","9","29","4","38","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","2","10","0","12","0","0","0","0","18","49","5","67","0","0","0","5"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000779","장안고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","8","0","12","15","32","6","47","0","2","0","2","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","3","4","0","7","0","0","0","0","24","49","6","73","0","0","0","6"
"경기도교육청","경기도교육청","경기도 이천시","S090000780","부원고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","2","0","9","13","6","0","19","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","2","2","0","4","0","0","0","0","25","12","0","37","0","0","0","0"
"경기도교육청","경기도교육청","경기도 이천시","S090000781","장호원고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","2","0","7","4","10","2","14","1","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","4","8","0","12","0","0","0","0","17","23","2","40","0","0","0","2"
"경기도교육청","경기도교육청","경기도 고양시 일산동구","S090000783","저동고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","4","8","1","12","4","43","9","47","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","5","11","0","16","0","0","0","0","14","66","10","80","0","0","0","10"
"경기도교육청","경기도교육청","경기도 파주시","S090000784","적성융합고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","4","0","6","5","4","0","9","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","1","0","0","1","8","14","0","22","0","0","0","0"
