"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001317","하남천현초등학교","02","공립","N","","2","44","22","2","31","15.5","2","44","22","2","54","27","2","49","24.5","2","52","26","2","8","4","0","0","0","14","282","20.1","18","15.7"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001318","하남초등학교","02","공립","N","","3","65","21.7","3","79","26.3","3","81","27","4","91","22.8","4","101","25.3","5","111","22.2","1","7","7","0","0","0","23","535","23.3","28","19.1"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001380","갈뫼초등학교","02","공립","N","","3","73","24.3","4","78","19.5","4","88","22","3","75","25","3","77","25.7","4","101","25.3","1","5","5","0","0","0","22","497","22.6","28","17.8"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001381","고천초등학교","02","공립","N","","2","46","23","3","57","19","3","60","20","3","63","21","3","64","21.3","3","55","18.3","2","7","3.5","0","0","0","19","352","18.5","22","16"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001382","곡란초등학교","02","공립","N","","2","42","21","2","55","27.5","2","52","26","2","55","27.5","2","39","19.5","3","46","15.3","0","0","0","0","0","0","13","289","22.2","16","18.1"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001383","관모초등학교","02","공립","N","","2","35","17.5","2","38","19","2","30","15","2","33","16.5","2","33","16.5","2","43","21.5","2","9","4.5","0","0","0","14","221","15.8","17","13"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001384","광정초등학교","02","공립","N","","3","62","20.7","4","84","21","4","91","22.8","4","91","22.8","4","97","24.3","4","87","21.8","2","8","4","0","0","0","25","520","20.8","31","16.8"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001385","군포양정초등학교","02","공립","N","","5","112","22.4","5","122","24.4","5","119","23.8","5","119","23.8","6","151","25.2","5","127","25.4","2","10","5","0","0","0","33","760","23","39","19.5"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001386","군포옥천초등학교","02","공립","N","","2","44","22","2","48","24","2","49","24.5","2","38","19","2","44","22","2","45","22.5","0","0","0","0","0","0","12","268","22.3","15","17.9"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001387","군포초등학교","02","공립","N","","5","128","25.6","5","129","25.8","6","142","23.7","6","142","23.7","6","148","24.7","7","177","25.3","2","13","6.5","0","0","0","37","879","23.8","43","20.4"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001388","군포화산초등학교","02","공립","N","","2","43","21.5","2","43","21.5","2","35","17.5","2","44","22","2","51","25.5","2","49","24.5","2","8","4","0","0","0","14","273","19.5","17","16.1"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001389","궁내초등학교","02","공립","N","","3","73","24.3","4","102","25.5","4","100","25","4","89","22.3","4","109","27.3","4","97","24.3","0","0","0","0","0","0","23","570","24.8","27","21.1"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001390","금정초등학교","02","공립","N","","4","94","23.5","3","83","27.7","3","69","23","4","105","26.3","4","90","22.5","4","101","25.3","2","9","4.5","0","0","0","24","551","23","28","19.7"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001391","내손초등학교","02","공립","N","","1","26","26","1","21","21","1","22","22","2","26","13","2","29","14.5","1","21","21","2","7","3.5","0","0","0","10","152","15.2","11","13.8"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001392","능내초등학교","02","공립","N","","3","69","23","4","90","22.5","4","102","25.5","4","91","22.8","3","79","26.3","4","113","28.3","1","5","5","0","0","0","23","549","23.9","28","19.6"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001393","덕장초등학교","02","공립","N","","3","91","30.3","3","70","23.3","3","77","25.7","3","71","23.7","3","73","24.3","3","81","27","2","8","4","0","0","0","20","471","23.6","23","20.5"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001394","도장초등학교","02","공립","N","","1","25","25","1","18","18","1","19","19","1","12","12","1","16","16","1","16","16","1","5","5","0","0","0","7","111","15.9","8","13.9"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001395","둔대초등학교","02","공립","N","","2","30","15","1","18","18","2","35","17.5","2","31","15.5","2","44","22","2","40","20","1","7","7","0","0","0","12","205","17.1","15","13.7"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001396","둔전초등학교","02","공립","N","","4","108","27","4","107","26.8","5","123","24.6","5","127","25.4","5","139","27.8","5","140","28","2","11","5.5","0","0","0","30","755","25.2","36","21"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001397","백운초등학교","02","공립","N","","5","112","22.4","5","118","23.6","5","137","27.4","5","115","23","4","107","26.8","5","113","22.6","2","11","5.5","0","0","0","31","713","23","40","17.8"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001399","산본초등학교","02","공립","N","","4","110","27.5","4","109","27.3","4","107","26.8","5","126","25.2","5","134","26.8","4","109","27.3","1","6","6","0","0","0","27","701","26","32","21.9"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001400","수리초등학교","02","공립","N","","1","21","21","2","31","15.5","2","34","17","2","34","17","2","42","21","2","47","23.5","1","7","7","0","0","0","12","216","18","14","15.4"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001401","신흥초등학교","02","공립","N","","2","49","24.5","3","63","21","3","62","20.7","3","77","25.7","3","75","25","3","73","24.3","1","2","2","0","0","0","18","401","22.3","21","19.1"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001403","오금초등학교","02","공립","N","","2","49","24.5","2","54","27","2","57","28.5","3","64","21.3","2","50","25","2","50","25","1","4","4","0","0","0","14","328","23.4","18","18.2"
