"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090006035","신봉중학교","03","공립","N","","7","210","30","7","220","31.4","5","163","32.6","1","6","6","0","0","0","20","599","30","34","17.6"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090006036","한숲중학교","03","공립","N","","9","275","30.6","8","238","29.8","8","253","31.6","1","5","5","0","0","0","26","771","29.7","45","17.1"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090006045","하늘빛중학교","03","공립","N","","12","406","33.8","10","335","33.5","10","354","35.4","1","3","3","0","0","0","33","1098","33.3","57","19.3"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090006060","옥빛중학교","03","공립","N","","11","332","30.2","12","353","29.4","16","462","28.9","1","10","10","0","0","0","40","1157","28.9","73","15.8"
"경기도교육청","경기도성남교육지원청","경기도 성남시 수정구","S090006105","위례중앙중학교","03","공립","N","","4","114","28.5","4","97","24.3","4","102","25.5","0","0","0","0","0","0","12","313","26.1","21","14.9"
"경기도교육청","경기도성남교육지원청","경기도 성남시 수정구","S090006106","위례한빛중학교","03","공립","N","","13","379","29.2","10","290","29","10","274","27.4","1","6","6","0","0","0","34","949","27.9","61","15.6"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090006119","배곧중학교","03","공립","N","","14","469","33.5","16","487","30.4","15","449","29.9","2","13","6.5","0","0","0","47","1418","30.2","83","17.1"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090006148","시흥가온중학교","03","공립","N","","10","286","28.6","9","255","28.3","8","225","28.1","1","3","3","0","0","0","28","769","27.5","48","16"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 만세구","S090006155","하길중학교","03","공립","N","","10","354","35.4","10","322","32.2","10","347","34.7","2","11","5.5","0","0","0","32","1034","32.3","56","18.5"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090006158","산내중학교","03","공립","N","","10","352","35.2","10","330","33","9","288","32","1","6","6","0","0","0","30","976","32.5","52","18.8"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090006159","산들중학교","03","공립","N","","10","346","34.6","8","280","35","10","347","34.7","1","5","5","0","0","0","29","978","33.7","49","20"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090006160","운정중학교","03","공립","N","","10","324","32.4","10","297","29.7","9","288","32","2","12","6","0","0","0","31","921","29.7","53","17.4"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090006422","낙원중학교","03","공립","N","","6","182","30.3","6","198","33","6","190","31.7","1","2","2","0","0","0","19","572","30.1","33","17.3"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090006423","덕장중학교","03","공립","N","","4","88","22","4","91","22.8","5","115","23","1","3","3","0","0","0","14","297","21.2","26","11.4"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090006424","동패중학교","03","공립","N","","12","375","31.3","10","324","32.4","12","381","31.8","2","12","6","0","0","0","36","1092","30.3","62","17.6"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090006430","부곡중앙중학교","03","공립","N","","8","225","28.1","7","191","27.3","8","224","28","1","7","7","0","0","0","24","647","27","42","15.4"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090006438","신백현중학교","03","공립","N","","4","109","27.3","4","105","26.3","4","107","26.8","1","6","6","0","0","0","13","327","25.2","22","14.9"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090006442","양도중학교","03","공립","N","","10","299","29.9","9","260","28.9","8","247","30.9","1","7","7","0","0","0","28","813","29","48","16.9"
"경기도교육청","경기도이천교육지원청","경기도 이천시","S090006448","이천사동중학교","03","공립","N","","8","222","27.8","8","220","27.5","8","229","28.6","1","6","6","0","0","0","25","677","27.1","44","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090006450","일산양일중학교","03","공립","N","","17","518","30.5","17","481","28.3","15","452","30.1","1","8","8","0","0","0","50","1459","29.2","88","16.6"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090006451","주곡중학교","03","공립","N","","8","245","30.6","9","271","30.1","8","233","29.1","1","6","6","0","0","0","26","755","29","47","16.1"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090006457","해솔중학교","03","공립","N","","8","258","32.3","7","226","32.3","6","194","32.3","2","8","4","0","0","0","23","686","29.8","40","17.2"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090006560","송양중학교","03","공립","N","","10","289","28.9","10","276","27.6","10","295","29.5","1","7","7","0","0","0","31","867","28","58","14.9"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090006576","경기체육중학교","03","공립","N","","1","23","23","1","26","26","1","34","34","0","0","0","0","0","0","3","83","27.7","11","7.5"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 병점구","S090006652","화성반월중학교","03","공립","N","","8","253","31.6","8","233","29.1","7","212","30.3","1","3","3","0","0","0","24","701","29.2","42","16.7"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090006779","은여울중학교","03","공립","N","","10","313","31.3","9","275","30.6","14","429","30.6","1","2","2","0","0","0","34","1019","30","59","17.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090006780","신원중학교","03","공립","N","","12","330","27.5","11","304","27.6","8","218","27.3","2","12","6","0","0","0","33","864","26.2","56","15.4"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090006781","수원다산중학교","03","공립","N","","11","360","32.7","11","354","32.2","11","353","32.1","1","4","4","0","0","0","34","1071","31.5","58","18.5"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090006782","능실중학교","03","공립","N","","10","310","31","8","252","31.5","7","220","31.4","2","9","4.5","0","0","0","27","791","29.3","46","17.2"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090006783","김포한가람중학교","03","공립","N","","10","298","29.8","9","272","30.2","10","315","31.5","1","6","6","0","0","0","30","891","29.7","52","17.1"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090006784","어정중학교","03","공립","N","","9","257","28.6","8","251","31.4","8","229","28.6","1","7","7","0","0","0","26","744","28.6","46","16.2"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090006800","천마중학교","03","공립","N","","5","154","30.8","6","186","31","7","217","31","2","12","6","0","0","0","20","569","28.5","34","16.7"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090006805","옥정중학교","03","공립","N","","19","574","30.2","12","357","29.8","9","283","31.4","1","7","7","0","0","0","41","1221","29.8","71","17.2"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090006912","미사강변중학교","03","공립","N","","14","443","31.6","12","361","30.1","12","379","31.6","1","5","5","0","0","0","39","1188","30.5","72","16.5"
"경기도교육청","경기도화성오산교육지원청","","S090006934","한백중학교","03","공립","N","","12","408","34","12","407","33.9","12","397","33.1","1","4","4","0","0","0","37","1216","32.9","64","19"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090006939","청계중학교","03","공립","N","","12","405","33.8","12","424","35.3","12","423","35.3","1","4","4","0","0","0","37","1256","33.9","64","19.6"
"경기도교육청","경기도화성오산교육지원청","","S090006944","방교중학교","03","공립","N","","12","401","33.4","7","235","33.6","10","318","31.8","1","3","3","0","0","0","30","957","31.9","52","18.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090006953","도래울중학교","03","공립","N","","13","366","28.2","12","331","27.6","11","315","28.6","1","6","6","0","0","0","37","1018","27.5","65","15.7"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090006966","한별중학교","03","공립","N","","10","313","31.3","8","259","32.4","9","292","32.4","1","6","6","0","0","0","28","870","31.1","48","18.1"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090007035","위례중학교","03","공립","N","","15","440","29.3","13","383","29.5","12","361","30.1","1","6","6","0","0","0","41","1190","29","72","16.5"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090007036","은가람중학교","03","공립","N","","9","258","28.7","5","155","31","6","182","30.3","1","3","3","0","0","0","21","598","28.5","36","16.6"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090007037","미사중학교","03","공립","N","","14","445","31.8","11","351","31.9","12","353","29.4","1","6","6","0","0","0","38","1155","30.4","67","17.2"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090007065","조남중학교","03","공립","N","","11","328","29.8","10","317","31.7","9","258","28.7","2","8","4","0","0","0","32","911","28.5","55","16.6"
