"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090005170","용인한국외국어대학교부설고등학교","04","사립","N","","10","368","36.8","10","367","36.7","10","363","36.3","0","0","0","0","0","0","30","1098","36.6","76","14.4"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090005280","양주백석고등학교","04","공립","N","","9","249","27.7","9","252","28","9","267","29.7","2","12","6","1","2","2","30","782","26.1","59","13.3"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090005282","성남외국어고등학교","04","공립","N","","8","211","26.4","8","201","25.1","8","191","23.9","0","0","0","0","0","0","24","603","25.1","59","10.2"
"경기도교육청","경기도안산교육지원청","경기도 안산시 상록구","S090005283","성포고등학교","04","공립","N","","11","270","24.5","11","276","25.1","11","275","25","2","13","6.5","0","0","0","35","834","23.8","68","12.3"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005284","수원외국어고등학교","04","공립","N","","8","214","26.8","8","198","24.8","8","198","24.8","0","0","0","0","0","0","24","610","25.4","52","11.7"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090005286","청심국제고등학교","04","사립","N","","4","112","28","4","122","30.5","4","108","27","0","0","0","0","0","0","12","342","28.5","25","13.7"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090005290","현화고등학교","04","공립","N","","10","317","31.7","10","323","32.3","10","320","32","2","16","8","0","0","0","32","976","30.5","61","16"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005291","호평고등학교","04","공립","N","","10","300","30","10","329","32.9","10","308","30.8","2","16","8","1","2","2","33","955","28.9","64","14.9"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090005292","김포외국어고등학교","04","사립","N","","8","207","25.9","8","186","23.3","8","193","24.1","0","0","0","0","0","0","24","586","24.4","43","13.6"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005319","용인백현고등학교","04","공립","N","","9","260","28.9","9","285","31.7","9","286","31.8","1","8","8","0","0","0","28","839","30","54","15.5"
"경기도교육청","경기도안성교육지원청","경기도 안성시","S090005320","한겨레고등학교","04","사립","N","","2","23","11.5","2","29","14.5","2","32","16","0","0","0","0","0","0","6","84","14","17","4.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090005380","가좌고등학교","04","공립","N","","10","250","25","11","265","24.1","11","293","26.6","1","1","1","0","0","0","33","809","24.5","62","13"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090005381","양주고등학교","04","공립","N","","8","227","28.4","8","231","28.9","8","235","29.4","1","8","8","0","0","0","25","701","28","50","14"
"경기도교육청","경기도포천교육지원청","경기도 포천시","S090005382","송우고등학교","04","공립","N","","10","213","21.3","10","219","21.9","10","240","24","3","17","5.7","0","0","0","33","689","20.9","62","11.1"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090005399","상원고등학교","04","공립","N","","9","214","23.8","9","221","24.6","9","240","26.7","0","0","0","0","0","0","27","675","25","54","12.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090005413","성사고등학교","04","공립","N","","10","229","22.9","10","239","23.9","10","242","24.2","2","11","5.5","1","3","3","33","724","21.9","62","11.7"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005414","성지고등학교","04","공립","N","","12","344","28.7","12","364","30.3","12","387","32.3","1","9","9","0","0","0","37","1104","29.8","73","15.1"
